Last Name,Money Available,Username,ID,Password,TicketMiner Membership,Concerts Purchased,First Name
Mouse,1985.39,mickeymouse,1,Fun!23,false,0,Mickey
Duck,2405.1,donaldduck,2,Fun!23,true,0,Donald
Mouse,5200.66,minniemouse,3,Fun!23,true,0,Minnie
Disney,2958.65,goofydisney,4,Fun!23,true,0,Goofy
Disney,5010.93,plutodisney,5,Fun!23,true,0,Pluto
Disney,2432.39,chipdisney,6,Fun!23,true,0,Chip
Disney,3423.5,daledisney,7,Fun!23,true,0,Dale
Disney,4067.84,cinderelladisney,8,Fun!23,false,0,Cinderella
Disney,2959.16,arieldisney,9,Fun!23,true,0,Ariel
Disney,3270.71,jasminedisney,10,Fun!23,true,0,Jasmine
Disney,3823.05,aladdindisney,11,Fun!23,false,0,Aladdin
Disney,4344.68,simbadisney,12,Fun!23,true,0,Simba
Disney,2779.37,mufassadisney,13,Fun!23,false,0,Mufassa
Disney,2709.84,auroradisney,14,Fun!23,true,0,Aurora
Pan,5349.85,peterpan,15,Fun!23,false,0,Peter
Disney,4246.07,woodydisney,16,Fun!23,false,0,Woody
Lightyear,3114.31,buzzlightyear,17,Fun!23,false,0,Buzz
Aladdin,1957.13,jafaraladdin,18,Fun!23,true,0,Jafar
Mermaid,1239.52,urselamermaid,19,Fun!23,false,0,Ursela
Disney,4485.71,beastdisney,20,Fun!23,true,0,Beast
Disney,1485.09,belledisney,21,Fun!23,false,0,Belle
DeVil,3739.87,cruelladevil,22,Fun!23,true,0,Cruella
Lion,3044.26,scarlion,23,Fun!23,false,0,Scar
King,4291.42,simbaking,24,Fun!23,true,0,Simba
Disney,3198.12,gastondisney,25,Fun!23,true,0,Gaston
Khan,4045.9,sherekhan,26,Fun!23,true,0,Shere
Hook,1098.4,captaiinhook,27,Fun!23,true,0,Captaiin
Disney,5490.18,kaadisney,28,Fun!23,true,0,Kaa
Queen,1045.35,evilqueen,29,Fun!23,false,0,Evil
Disney,4924.38,pinocchiodisney,30,Fun!23,true,0,Pinocchio
Eric,4223.61,princeeric,31,Fun!23,true,0,Prince
Disney,2611.35,quasimododisney,32,Fun!23,false,0,Quasimodo
Disney,5949.08,herculesdisney,33,Fun!23,true,0,Hercules
Disney,4984.05,mulandisney,34,Fun!23,true,0,Mulan
Disney,2530.1,lilodisney,35,Fun!23,false,0,Lilo
Disney,5762.34,stitchdisney,36,Fun!23,false,0,Stitch
Mejia,4263.39,danielmejia,37,Fun!23,true,0,Daniel
Nouri,5036.04,alirezanouri,38,Fun!23,false,0,Alireza
Alderete,5011.42,samalderete,39,Fun!23,false,0,Sam
Alonso,1814.69,carloalonso,40,Fun!23,true,0,Carlo
Argumedo,3643.75,argumedogael,41,Fun!23,true,0,Gael
Ayala Vilchis,4964.59,ayala vilchiskevin,42,Fun!23,true,0,Kevin
Bai,973.89,baidavid,43,Fun!23,true,0,David
Barraza-Villa,5849.98,barraza-villaemmanuel,44,Fun!23,false,0,Emmanuel
Bautista,4008.37,bautistaangel,45,Fun!23,true,0,Angel
Betancourt,5496.8,betancourtjohnmichael,46,Fun!23,false,0,JohnMichael
Burns,4617.7,burnssaul,47,Fun!23,true,0,Saul
Campos,4475.33,camposcaelyn,48,Fun!23,true,0,Caelyn
Cardenas,3998.07,cardenasdaniel,49,Fun!23,false,0,Daniel
Carrejo,2763.43,carrejozachary,50,Fun!23,false,0,Zachary
Carreon,1875.97,carreonluis,51,Fun!23,false,0,Luis
